Change,-300,-200,-100,-50,0,50,100,200,300
Median,1048,756,279,140,115,102,96,93,89
Percent AVG,8.1130,5.5739,1.4261,0.2174,0.0000,-0.1130,-0.1652,-0.1913,-0.2261
