,Collateral,,,,,,Principal and Interest,,,
Date,Amt Issued (M),# Pools,WAC,WAM,WALA,Balance (M),Total (M),Sched (M),Unsched (M),Net Interest (M)
11/2010,10820,5,3.564,354,5,10778,18,17,1,27
10/2010,6006,2,3.583,352,7,5982,20,10,11,15
09/2010,2235,1,3.589,349,11,2232,4,4,0,6
02/2006,1626,1,3.5,271,29,1415,3,3,0,4
01/2006,1626,1,3.5,272,28,1418,3,3,0,4
12/2005,1626,1,3.5,273,27,1421,193,4,189,4
11/2005,1626,1,3.5,274,26,1614,4,4,0,4
10/2005,1626,1,3.5,275,25,1618,4,4,0,4
11/2002,1308,1,3.405,330,29,1281,2,2,0,3
10/2002,1308,1,3.405,331,28,1284,2,2,0,3
09/2002,1308,1,3.405,332,27,1286,2,2,0,3
08/2002,1308,1,3.405,333,26,1288,2,2,0,3
07/2002,1308,1,3.405,334,25,1291,2,2,0,3
06/2002,1308,1,3.405,335,24,1293,2,2,0,3
05/2002,1308,1,3.405,336,23,1295,3,2,1,3
04/2002,1308,1,3.405,337,22,1298,2,2,0,3
03/2002,1308,1,3.405,338,21,1301,2,2,0,3
02/2002,1308,1,3.405,339,20,1303,2,2,0,3
01/2002,1308,1,3.405,340,20,1305,2,2,0,3
