,Collateral,,,,,, Principal and Interest ,,,
Date, Amt Issued (M) ,# Pools,WAC,WAM,WALA, Balance (M) , Total (M) , Sched (M) , Unsched (M) , Net Interest (M) 
05/2013,281476798.00,7773.00,3.58,353.00,5.00,273940765.00,1299470.00,437096.00,862373.00,688101.00
04/2013,251000557.00,6975.00,3.57,353.00,5.00,244762338.00,1074866.00,390053.00,684813.00,614593.00
03/2013,223733661.00,6229.00,3.57,354.00,4.00,218570167.00,1010247.00,347641.00,662606.00,548951.00
02/2013,186412047.00,5195.00,3.58,354.00,4.00,182258410.00,1221241.00,289145.00,932096.00,458700.00
01/2013,150605972.00,4234.00,3.60,355.00,4.00,147673214.00,1001090.00,233075.00,768015.00,371686.00
12/2012,124137747.00,3512.00,3.61,356.00,3.00,122206084.00,840563.00,190019.00,650544.00,307617.00
11/2012,81713417.00,2482.00,3.64,356.00,3.00,80621627.00,496372.00,125132.00,371240.00,202795.00
10/2012,61865457.00,1812.00,3.64,356.00,3.00,61270402.00,249177.00,94638.00,154539.00,153799.00
09/2012,36658922.00,1211.00,3.67,356.00,3.00,36312903.00,171350.00,55201.00,116150.00,91211.00
08/2012,20445397.00,750.00,3.70,356.00,3.00,20270729.00,82676.00,30354.00,52322.00,50884.00
07/2012,11913172.00,511.00,3.72,355.00,3.00,11821179.00,39297.00,17806.00,21491.00,29651.00
06/2012,8902011.00,378.00,3.72,356.00,3.00,8849315.00,23796.00,13540.00,10257.00,22183.00
05/2012,5355139.00,275.00,3.70,355.00,2.00,5326239.00,11952.00,8190.00,3762.00,13345.00
04/2012,3689294.00,204.00,3.71,355.00,2.00,3672346.00,8433.00,5447.00,2985.00,9202.00
03/2012,1512182.00,104.00,3.74,352.00,3.00,1503595.00,4015.00,2335.00,1679.00,3769.00
02/2012,565326.00,69.00,3.69,344.00,4.00,560753.00,1337.00,867.00,470.00,1405.00
01/2012,269854.00,51.00,3.61,340.00,6.00,266619.00,634.00,456.00,177.00,668.00
12/2011,163208.00,35.00,3.60,336.00,8.00,160606.00,508.00,282.00,226.00,403.00
11/2011,115769.00,28.00,3.58,327.00,9.00,113675.00,353.00,209.00,144.00,285.00
10/2011,101372.00,26.00,3.58,325.00,9.00,99631.00,205.00,185.00,20.00,250.00
09/2011,86014.00,25.00,3.58,341.00,11.00,84431.00,249.00,143.00,105.00,212.00
08/2011,81374.00,24.00,3.59,342.00,10.00,80039.00,341.00,135.00,207.00,201.00
07/2011,81374.00,24.00,3.59,344.00,9.00,80380.00,148.00,134.00,13.00,201.00
06/2011,81374.00,24.00,3.59,345.00,8.00,80528.00,158.00,134.00,24.00,202.00
05/2011,78373.00,22.00,3.59,346.00,7.00,77685.00,161.00,129.00,32.00,195.00
04/2011,75297.00,20.00,3.58,348.00,6.00,74770.00,139.00,122.00,16.00,187.00
03/2011,66572.00,17.00,3.58,349.00,5.00,66184.00,119.00,108.00,11.00,166.00
02/2011,62965.00,15.00,3.58,350.00,4.00,62696.00,116.00,102.00,14.00,157.00
01/2011,35015.00,11.00,3.57,352.00,5.00,34861.00,68.00,56.00,12.00,87.00
12/2010,26642.00,8.00,3.56,354.00,5.00,26556.00,44.00,43.00,2.00,67.00
11/2010,10820.00,5.00,3.56,354.00,5.00,10778.00,18.00,17.00,1.00,27.00
10/2010,6006.00,2.00,3.58,352.00,7.00,5982.00,20.00,10.00,11.00,15.00
09/2010,2235.00,1.00,3.59,349.00,11.00,2232.00,4.00,4.00,0.00,6.00
02/2006,1626.00,1.00,3.50,271.00,29.00,1415.00,3.00,3.00,0.00,4.00
01/2006,1626.00,1.00,3.50,272.00,28.00,1418.00,3.00,3.00,0.00,4.00
12/2005,1626.00,1.00,3.50,273.00,27.00,1421.00,193.00,4.00,189.00,4.00
11/2005,1626.00,1.00,3.50,274.00,26.00,1614.00,4.00,4.00,0.00,4.00
10/2005,1626.00,1.00,3.50,275.00,25.00,1618.00,4.00,4.00,0.00,4.00
11/2002,1308.00,1.00,3.41,330.00,29.00,1281.00,2.00,2.00,0.00,3.00
10/2002,1308.00,1.00,3.41,331.00,28.00,1284.00,2.00,2.00,0.00,3.00
09/2002,1308.00,1.00,3.41,332.00,27.00,1286.00,2.00,2.00,0.00,3.00
08/2002,1308.00,1.00,3.41,333.00,26.00,1288.00,2.00,2.00,0.00,3.00
07/2002,1308.00,1.00,3.41,334.00,25.00,1291.00,2.00,2.00,0.00,3.00
06/2002,1308.00,1.00,3.41,335.00,24.00,1293.00,2.00,2.00,0.00,3.00
05/2002,1308.00,1.00,3.41,336.00,23.00,1295.00,3.00,2.00,1.00,3.00
04/2002,1308.00,1.00,3.41,337.00,22.00,1298.00,2.00,2.00,0.00,3.00
03/2002,1308.00,1.00,3.41,338.00,21.00,1301.00,2.00,2.00,0.00,3.00
02/2002,1308.00,1.00,3.41,339.00,20.00,1303.00,2.00,2.00,0.00,3.00
01/2002,1308.00,1.00,3.41,340.00,20.00,1305.00,2.00,2.00,0.00,3.00
